task,set,intended,correct
input,1,angry,0.6666666666666666
input,1,haha,0.625
input,1,heart,0.5833333333333334
input,1,like,0.7916666666666666
input,1,sad,0.75
input,1,yay,0.5
input,2,angry,0.6666666666666666
input,2,haha,0.375
input,2,heart,0.4166666666666667
input,2,like,0.5833333333333334
input,2,sad,0.5416666666666666
input,2,yay,0.5
vibration,1,angry,1.0
vibration,1,haha,0.75
vibration,1,heart,0.8333333333333334
vibration,1,like,1.0
vibration,1,sad,1.0
vibration,1,yay,1.0
vibration,2,angry,0.875
vibration,2,haha,0.3333333333333333
vibration,2,heart,0.6666666666666666
vibration,2,like,0.875
vibration,2,sad,0.5416666666666666
vibration,2,yay,0.125
